IRS,64
VCSA,72
ICM.V,93
SONN,106
DOXA.ST,223
NRSN,271
LUCK.V,316
CRESY,322
SCHA.OL,323
SCHB.OL,325
ASND.TO,359
SQFT,374
LUNR,384
SPRINT.ST,416
KDA.V,430
SBS,454
STAR-A.ST,475
ONCO,475
STAR-B.ST,477
TUI1.DE,496
NCMI,502
PAC,531
QRC.TO,536
EVMT.V,571
KSPI,599
EDN,617
LODE,619
AERW-B.ST,621
BVB.DE,622
ATAI,634
FORD,635
JAKK,637
PAH3.DE,641
ASR,644
OMAB,645
VTRU,654
SXTP,672
X.TO,690
GRRR,695
PBX.V,703
EVERY.ST,727
JFIN,771
TYGO,785
HOUS,792
CONSTI.HE,809
REVV.V,815
NVO,825
CIG,830
TSEC.ST,837
STG,841
WATR.V,843
CMPO,846
DRCT,849
TCOM,862
GDEN,871
QSG,882
HEPS,889
XLY.TO,908
BTMD,918
SAFETY-B.ST,921
SURG,924
BTM,942
DSNO.ST,942
INVA,947
SINCH.ST,949
VNCE,952
IZZ.V,969
VIRC,976
AXDX,1014
ZZ-B.ST,1022
SAIC,1032
KWS.DE,1033
CAG.V,1042
GAU,1049
AMG,1051
AZM.MI,1055
DVG.V,1063
SLEEP.ST,1073
ALAR,1100
VEI.OL,1103
UCL,1105
VIA,1106
GAU.TO,1114
CHCI,1115
EBA.DE,1141
FTDR,1144
TRANS.ST,1146
CSO.V,1149
ARE.TO,1153
EXPE,1167
EBAY,1168
BWMX,1169
DBRG,1172
COLL,1172
FOR,1194
LNGE.V,1197
TOY.TO,1202
ENZ,1208
MAIRE.MI,1211
VPAB-B.ST,1216
APAM,1225
CAF.V,1230
NRC.OL,1232
TKC,1232
GRVY,1232
BQE.V,1234
MOMO,1234
MSB,1235
EOSE,1237
FAR.TO,1241
PDD,1244
DAKT,1254
APRNDR.ST,1257
ENVI-B.ST,1273
Y.TO,1275
DORO.ST,1276
FRHC,1286
BTR.V,1295
CVI,1297
KARO,1304
GCMG,1305
CEPU,1308
ANIM.MI,1313
FANH,1313
CVNA,1317
DDI,1319
OLY.TO,1321
ABEV,1329
DPSI,1331
TM,1331
UGP,1335
SNX.ST,1337
IOS.DE,1357
BNKR.V,1364
ESOA,1370
RYAAY,1372
AXL.V,1378
KOF,1380
NAS.OL,1386
PBF,1389
CELL.V,1396
SRS.MI,1396
BORG.ST,1397
NWO.DE,1403
PCE1.DE,1420
AFYA,1426
HME.V,1428
RDY,1431
STEP,1433
CINT,1434
BIPC,1437
MGA.TO,1439
SDSD.OL,1444
DEQ.DE,1444
CROX,1450
